symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
APP	0.8248588821845724	0.780662389619232	No data	0.41714042417062674	0.3695798546847018	0.6015639361118637	No data	No data	amyloid beta precursor protein
PSEN1	0.8235819134542025	0.7869152193091182	No data	0.3911188693542574	0.27718489101352634	0.5787127376959408	0.030324173691837996	0.5686934480352086	presenilin 1
PSEN2	0.7756126639098723	0.7460595058073944	No data	0.3911188693542574	No data	0.5076491665638869	No data	No data	presenilin 2
ACHE	0.6319749036661764	No data	No data	0.6056561749805431	No data	0.5263745737126652	No data	No data	acetylcholinesterase (Cartwright blood group)
BCHE	0.6209597298138808	0.030500863423002397	No data	0.589964170095547	No data	0.5521314978711115	No data	No data	butyrylcholinesterase
GRIN1	0.6143816088357765	No data	No data	0.5942908554084113	No data	0.401815068547306	No data	No data	glutamate ionotropic receptor NMDA type subunit 1
GRIN2B	0.6045379283149795	0.001760928759219463	No data	0.5942908554084113	No data	0.19387966694193695	0.019936418040910495	No data	glutamate ionotropic receptor NMDA type subunit 2B
GRIN3B	0.6018437464448045	0.02249145162549234	No data	0.5942908554084113	No data	0.0868512658509049	No data	No data	glutamate ionotropic receptor NMDA type subunit 3B
GRIN2A	0.6006274029892589	No data	No data	0.5948240103271638	No data	0.11083164653698588	0.011781465086058764	No data	glutamate ionotropic receptor NMDA type subunit 2A
GRIN3A	0.5969039389726383	No data	No data	0.5942908554084113	No data	0.0522616712845392	No data	No data	glutamate ionotropic receptor NMDA type subunit 3A
GRIN2D	0.5966135621340339	No data	No data	0.5942908554084113	No data	0.0464541345124521	No data	No data	glutamate ionotropic receptor NMDA type subunit 2D
GRIN2C	0.596047327716482	No data	No data	0.5942908554084113	No data	0.02587777610288133	0.020816257631699683	No data	glutamate ionotropic receptor NMDA type subunit 2C
PTGS2	0.5537834536217607	No data	No data	0.527912825219423	No data	0.5174125680467555	No data	No data	prostaglandin-endoperoxide synthase 2
PTGS1	0.5275476469012672	No data	No data	0.5206222072775718	No data	0.13850879247390682	No data	No data	prostaglandin-endoperoxide synthase 1
HMGCR	0.5110725684417826	No data	No data	0.48910641256017745	No data	0.43679285037309123	0.005693101332774247	No data	3-hydroxy-3-methylglutaryl-CoA reductase
SLC6A3	0.49384588800037993	No data	No data	0.4690994966656323	No data	0.4949278266949532	No data	No data	solute carrier family 6 member 3
SCN1A	0.4796043482249968	No data	No data	0.4701877040155372	No data	0.18516139796302244	0.007135844008878965	No data	sodium voltage-gated channel alpha subunit 1
SCN9A	0.4786284454063535	No data	No data	0.4701877040155372	No data	0.16881482781632617	No data	No data	sodium voltage-gated channel alpha subunit 9
